#o/p  it       t_pb[ms]       level        ejecta_mass[M]      ejecta_KE[erg]     ejecta_IE[erg]     ejecta_ME[erg]     ejecta_TE[erg]
78  257000  112.47290641044617  5     0.004527274805128841     2.850537688818696e+49     2.410781356987525e+49     8.29347305972423e+49     1.3554792105530453e+50
79  259000  113.45812808538037  5     0.004584020335900768     2.829500532911298e+49     2.436680082193115e+49     8.33011516705281e+49     1.3596295782157222e+50
80  260000  113.95073892284746  5     0.004603778759283451     2.822806358144576e+49     2.4372363465132113e+49     8.350438820380312e+49     1.36104815250381e+50
81  262000  114.93596059778166  5     0.004687376401925285     2.8614888813309654e+49     2.465904931263191e+49     8.40969977702422e+49     1.3737093589618378e+50
82  263000  115.42857143524876  5     0.004740920358933304     2.8808938001573985e+49     2.5071643964985385e+49     8.449780379092159e+49     1.3837838575748097e+50
83  264000  115.92118227271585  5     0.0047585113818919365     2.860040344675347e+49     2.525852196455421e+49     8.469618245633122e+49     1.385551078676389e+50
84  265000  116.41379311018295  5     0.00474069568655958     2.8069524334692214e+49     2.4967358785722215e+49     8.464150948773964e+49     1.3767839260815405e+50
85  267000  117.39901478511715  5     0.004688931339864778     2.7059235895601545e+49     2.4159274265468486e+49     8.435775571056189e+49     1.3557626587163192e+50
86  268000  117.89162562258424  5     0.00469818012293506     2.7091172784269424e+49     2.379201354845649e+49     8.45100844107313e+49     1.3539327074345721e+50
87  269000  118.38423646005134  5     0.004719617811492071     2.728419582697776e+49     2.3411821940443345e+49     8.491094699039453e+49     1.3560696475781562e+50
88  270000  118.87684729751844  5     0.00478245970628086     2.795229824088988e+49     2.338790137952597e+49     8.572182736520751e+49     1.3706202698562337e+50
89  271000  119.36945813498554  5     0.004859285028215287     2.899423247334034e+49     2.3590204298543056e+49     8.670125161131022e+49     1.3928568838319362e+50
90  272000  119.86206897245263  5     0.0049366642912696025     2.990189805874323e+49     2.382975794187246e+49     8.771155927591809e+49     1.4144321527653377e+50
91  274000  120.84729064738683  5     0.00506147019068978     3.131911393704929e+49     2.408506404926456e+49     8.966694811645503e+49     1.4507112610276889e+50
92  274000  120.84729064738683  5     0.005060148471298004     3.130063553661442e+49     2.4096493267829753e+49     8.964764654221693e+49     1.4504477534666112e+50
